;a_feat_desc;b_feat_extr_time;c_cl_desc;d_cl_res;e_cl_time;f_cl_score
0;Caltech-HSV-Bins_[2, 4, 4]-Norm_Distr;26.35770583152771;Classif_RF-CV_8-Trees_200;"GridSearchCV(cv=8,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=100,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";25.30480408668518;0.2690362269309638
1;Caltech-HSV-Bins_[3, 4, 4]-Norm_Distr;22.307148933410645;Classif_RF-CV_8-Trees_200;"GridSearchCV(cv=8,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=100,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";28.32825016975403;0.28995215311004785
2;Caltech-HSV-Bins_[4, 4, 4]-Norm_Distr;23.74096703529358;Classif_RF-CV_8-Trees_200;"GridSearchCV(cv=8,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=100,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";29.119733095169067;0.29692412850307587
3;Caltech-HSV-Bins_[5, 4, 4]-Norm_Distr;23.666043043136597;Classif_RF-CV_8-Trees_200;"GridSearchCV(cv=8,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=100,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";30.78425097465515;0.28940533151059467
4;Caltech-HSV-Bins_[6, 4, 4]-Norm_Distr;28.441756010055542;Classif_RF-CV_8-Trees_200;"GridSearchCV(cv=8,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=100,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";32.98688292503357;0.29801777170198224
5;Caltech-HSV-Bins_[7, 4, 4]-Norm_Distr;30.00211000442505;Classif_RF-CV_8-Trees_200;"GridSearchCV(cv=8,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=100,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";38.095832109451294;0.3053998632946001
6;Caltech-HSV-Bins_[8, 4, 4]-Norm_Distr;26.41002893447876;Classif_RF-CV_8-Trees_200;"GridSearchCV(cv=8,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=100,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";46.64425706863403;0.2967874231032126
7;Caltech-HSV-Bins_[9, 4, 4]-Norm_Distr;33.10276198387146;Classif_RF-CV_8-Trees_200;"GridSearchCV(cv=8,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=100,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";47.11957883834839;0.3064935064935065
8;Caltech-HSV-Bins_[10, 4, 4]-Norm_Distr;30.382289171218872;Classif_RF-CV_8-Trees_200;"GridSearchCV(cv=8,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=100,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";45.70924186706543;0.3064935064935065
9;Caltech-HSV-Bins_[11, 4, 4]-Norm_Distr;27.665060997009277;Classif_RF-CV_8-Trees_200;"GridSearchCV(cv=8,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=100,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";48.79233503341675;0.3089542036910458
10;Caltech-HSV-Bins_[12, 4, 4]-Norm_Distr;33.639941930770874;Classif_RF-CV_8-Trees_200;"GridSearchCV(cv=8,
       estimator=Pipeline(classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=No...jobs=1,
     classifier__oob_score=False, classifier__random_state=None,
     classifier__verbose=0),
       estimator__classifier=RandomForestClassifier(bootstrap=True, compute_importances=None,
            criterion=gini, max_depth=None, max_features=auto,
            min_density=None, min_samples_leaf=1, min_samples_split=2,
            n_estimators=10, n_jobs=1, oob_score=False, random_state=None,
            verbose=0),
       estimator__classifier__bootstrap=True,
       estimator__classifier__compute_importances=None,
       estimator__classifier__criterion=gini,
       estimator__classifier__max_depth=None,
       estimator__classifier__max_features=auto,
       estimator__classifier__min_density=None,
       estimator__classifier__min_samples_leaf=1,
       estimator__classifier__min_samples_split=2,
       estimator__classifier__n_estimators=10,
       estimator__classifier__n_jobs=1,
       estimator__classifier__oob_score=False,
       estimator__classifier__random_state=None,
       estimator__classifier__verbose=0, fit_params={}, iid=True,
       loss_func=None, n_jobs=100,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch=2*n_jobs, refit=True, score_func=None,
       scoring=accuracy, verbose=0)";57.601593017578125;0.3152426520847573
