;a_feat_desc;b_feat_extr_time;c_cl_desc;d_cl_res;e_cl_time;f_cl_score
0;CT-RGB-Bins_2-MaxCI_256-Norm_Distr;15,6;Classif_RF-CV_5-Trees_150;"GridSearchCV(cv=5, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 101, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";32,555;0,141086
1;CT-RGB-Bins_8-MaxCI_256-Norm_Distr;16,684;Classif_RF-CV_5-Trees_200;"GridSearchCV(cv=5, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 101, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";47,721;0,290558
2;CT-RGB-Bins_13-MaxCI_256-Norm_Distr;17,509;Classif_RF-CV_5-Trees_200;"GridSearchCV(cv=5, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 101, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";67,058;0,320817
3;CT-RGB-Bins_19-MaxCI_256-Norm_Distr;17,27;Classif_RF-CV_5-Trees_200;"GridSearchCV(cv=5, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 101, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";78,202;0,30988
4;CT-RGB-Bins_25-MaxCI_256-Norm_Distr;17,778;Classif_RF-CV_5-Trees_150;"GridSearchCV(cv=5, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 101, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";88,216;0,312067
5;CT-RGB-Bins_30-MaxCI_256-Norm_Distr;18,143;Classif_RF-CV_5-Trees_200;"GridSearchCV(cv=5, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 101, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";101,344;0,298214
6;CT-RGB-Bins_36-MaxCI_256-Norm_Distr;155,248;Classif_RF-CV_5-Trees_200;"GridSearchCV(cv=5, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 101, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";113,97;0,308786
7;CT-RGB-Bins_41-MaxCI_256-Norm_Distr;219,629;Classif_RF-CV_5-Trees_200;"GridSearchCV(cv=5, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 101, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";122,214;0,322639
8;CT-RGB-Bins_47-MaxCI_256-Norm_Distr;106,85;Classif_RF-CV_5-Trees_200;"GridSearchCV(cv=5, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 101, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";121,771;0,309151
9;CT-RGB-Bins_53-MaxCI_256-Norm_Distr;132,835;Classif_RF-CV_5-Trees_200;"GridSearchCV(cv=5, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 101, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";133,272;0,304776
10;CT-RGB-Bins_58-MaxCI_256-Norm_Distr;147,608;Classif_RF-CV_5-Trees_150;"GridSearchCV(cv=5, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 101, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";139,204;0,315348
