;Precision;Recall;F1;Support
accordion;0.333333333333;0.454545454545;0.384615384615;11.0
airplanes;0.474747474747;0.844311377246;0.60775862069;167.0
anchor;0.0;0.0;0.0;5.0
ant;0.0;0.0;0.0;7.0
BACKGROUND_Google;0.195454545455;0.488636363636;0.279220779221;88.0
barrel;0.0;0.0;0.0;9.0
bass;0.0;0.0;0.0;11.0
beaver;0.0;0.0;0.0;7.0
binocular;0.0;0.0;0.0;9.0
bonsai;0.321428571429;0.375;0.346153846154;24.0
brain;0.615384615385;0.380952380952;0.470588235294;21.0
brontosaurus;0.0;0.0;0.0;12.0
buddha;0.4;0.125;0.190476190476;16.0
butterfly;1.0;0.1;0.181818181818;10.0
camera;0.0;0.0;0.0;10.0
cannon;0.0;0.0;0.0;10.0
car_side;0.368421052632;0.291666666667;0.325581395349;24.0
ceiling_fan;0.0;0.0;0.0;6.0
cellphone;0.5;0.111111111111;0.181818181818;9.0
chair;0.0;0.0;0.0;13.0
chandelier;0.0;0.0;0.0;17.0
cougar_body;0.5;0.2;0.285714285714;5.0
cougar_face;0.466666666667;0.411764705882;0.4375;17.0
crab;0.2;0.0909090909091;0.125;11.0
crayfish;0.0;0.0;0.0;12.0
crocodile;0.0;0.0;0.0;9.0
crocodile_head;0.0;0.0;0.0;9.0
cup;0.0;0.0;0.0;7.0
dalmatian;1.0;0.0769230769231;0.142857142857;13.0
dollar_bill;0.7;0.583333333333;0.636363636364;12.0
dolphin;0.0;0.0;0.0;16.0
dragonfly;1.0;0.0526315789474;0.1;19.0
electric_guitar;0.0;0.0;0.0;14.0
elephant;0.0;0.0;0.0;16.0
emu;0.1;0.0833333333333;0.0909090909091;12.0
euphonium;0.166666666667;0.125;0.142857142857;8.0
ewer;0.0;0.0;0.0;20.0
Faces;0.24043715847;0.578947368421;0.339768339768;76.0
Faces_easy;0.440251572327;0.693069306931;0.538461538462;101.0
ferry;0.0;0.0;0.0;8.0
flamingo;0.0;0.0;0.0;11.0
flamingo_head;0.0;0.0;0.0;5.0
garfield;1.0;0.142857142857;0.25;7.0
gerenuk;0.6;0.333333333333;0.428571428571;9.0
gramophone;0.0;0.0;0.0;12.0
grand_piano;0.55;0.478260869565;0.511627906977;23.0
hawksbill;0.291666666667;0.368421052632;0.325581395349;19.0
headphone;0.166666666667;0.125;0.142857142857;8.0
hedgehog;0.357142857143;0.555555555556;0.434782608696;9.0
helicopter;0.0;0.0;0.0;15.0
ibis;0.333333333333;0.0666666666667;0.111111111111;15.0
inline_skate;0.0;0.0;0.0;9.0
joshua_tree;0.235294117647;0.444444444444;0.307692307692;9.0
kangaroo;0.0714285714286;0.0714285714286;0.0714285714286;14.0
ketch;0.111111111111;0.0454545454545;0.0645161290323;22.0
lamp;0.0;0.0;0.0;17.0
laptop;0.666666666667;0.08;0.142857142857;25.0
Leopards;0.611940298507;0.953488372093;0.745454545455;43.0
llama;0.1;0.0625;0.0769230769231;16.0
lobster;0.0;0.0;0.0;10.0
lotus;0.315789473684;0.6;0.413793103448;10.0
mandolin;0.0;0.0;0.0;8.0
mayfly;0.0;0.0;0.0;9.0
menorah;0.0;0.0;0.0;11.0
metronome;0.5;0.142857142857;0.222222222222;7.0
minaret;0.3;0.136363636364;0.1875;22.0
Motorbikes;0.456756756757;0.944134078212;0.615664845173;179.0
nautilus;0.0;0.0;0.0;15.0
octopus;0.5;0.166666666667;0.25;6.0
okapi;0.0;0.0;0.0;4.0
pagoda;0.5;0.166666666667;0.25;6.0
panda;0.0;0.0;0.0;10.0
pigeon;0.0;0.0;0.0;10.0
pizza;0.0;0.0;0.0;9.0
platypus;1.0;0.125;0.222222222222;8.0
pyramid;0.0;0.0;0.0;15.0
revolver;0.0;0.0;0.0;20.0
rhino;0.4;0.125;0.190476190476;16.0
rooster;0.0;0.0;0.0;17.0
saxophone;0.0;0.0;0.0;7.0
schooner;0.666666666667;0.181818181818;0.285714285714;11.0
scissors;0.25;0.25;0.25;4.0
scorpion;0.0666666666667;0.125;0.0869565217391;8.0
sea_horse;0.333333333333;0.0666666666667;0.111111111111;15.0
snoopy;1.0;0.3;0.461538461538;10.0
soccer_ball;0.545454545455;0.428571428571;0.48;14.0
stapler;0.333333333333;0.2;0.25;5.0
starfish;0.5;0.2;0.285714285714;20.0
stegosaurus;0.333333333333;0.222222222222;0.266666666667;9.0
stop_sign;0.5;0.428571428571;0.461538461538;7.0
strawberry;0.5;0.125;0.2;8.0
sunflower;0.75;0.6;0.666666666667;15.0
tick;1.0;0.111111111111;0.2;9.0
trilobite;0.45;0.5625;0.5;16.0
umbrella;0.333333333333;0.1875;0.24;16.0
watch;0.21875;0.333333333333;0.264150943396;42.0
water_lilly;1.0;0.0833333333333;0.153846153846;12.0
wheelchair;0.0;0.0;0.0;12.0
wild_cat;0.0;0.0;0.0;8.0
windsor_chair;1.0;0.833333333333;0.909090909091;12.0
wrench;0.0;0.0;0.0;4.0
yin_yang;0.454545454545;0.357142857143;0.4;14.0
