;Precision;Recall;F1;Support
accordion;0.166666666667;0.5;0.25;8.0
airplanes;0.425531914894;0.875;0.572597137014;160.0
anchor;0.5;0.181818181818;0.266666666667;11.0
ant;0.0;0.0;0.0;4.0
BACKGROUND_Google;0.10599078341;0.306666666667;0.157534246575;75.0
barrel;0.0;0.0;0.0;13.0
bass;0.0;0.0;0.0;11.0
beaver;0.0;0.0;0.0;7.0
binocular;1.0;0.142857142857;0.25;7.0
bonsai;0.363636363636;0.148148148148;0.210526315789;27.0
brain;0.4;0.3;0.342857142857;20.0
brontosaurus;0.0;0.0;0.0;10.0
buddha;0.166666666667;0.0625;0.0909090909091;16.0
butterfly;0.25;0.0454545454545;0.0769230769231;22.0
camera;0.0;0.0;0.0;7.0
cannon;0.0;0.0;0.0;10.0
car_side;0.5;0.772727272727;0.607142857143;22.0
ceiling_fan;0.5;0.0909090909091;0.153846153846;11.0
cellphone;0.0;0.0;0.0;17.0
chair;0.0;0.0;0.0;7.0
chandelier;0.1;0.0434782608696;0.0606060606061;23.0
cougar_body;0.0;0.0;0.0;11.0
cougar_face;0.0;0.0;0.0;16.0
crab;0.2;0.0714285714286;0.105263157895;14.0
crayfish;0.333333333333;0.047619047619;0.0833333333333;21.0
crocodile;0.0;0.0;0.0;7.0
crocodile_head;0.0;0.0;0.0;8.0
cup;0.0;0.0;0.0;11.0
dalmatian;0.166666666667;0.0666666666667;0.0952380952381;15.0
dollar_bill;0.25;0.1875;0.214285714286;16.0
dolphin;0.25;0.117647058824;0.16;17.0
dragonfly;0.0;0.0;0.0;14.0
electric_guitar;1.0;0.0714285714286;0.133333333333;14.0
elephant;0.333333333333;0.153846153846;0.210526315789;13.0
emu;0.0;0.0;0.0;13.0
euphonium;0.25;0.142857142857;0.181818181818;14.0
ewer;0.0;0.0;0.0;21.0
Faces;0.290322580645;0.568421052632;0.384341637011;95.0
Faces_easy;0.373737373737;0.850574712644;0.519298245614;87.0
ferry;0.5;0.0909090909091;0.153846153846;11.0
flamingo;0.5;0.2;0.285714285714;10.0
flamingo_head;0.0;0.0;0.0;4.0
garfield;0.5;0.125;0.2;8.0
gerenuk;0.5;0.2;0.285714285714;5.0
gramophone;0.0;0.0;0.0;11.0
grand_piano;0.3125;0.192307692308;0.238095238095;26.0
hawksbill;0.357142857143;0.227272727273;0.277777777778;22.0
headphone;0.0;0.0;0.0;6.0
hedgehog;0.0;0.0;0.0;12.0
helicopter;0.0;0.0;0.0;13.0
ibis;0.0;0.0;0.0;15.0
inline_skate;1.0;0.125;0.222222222222;8.0
joshua_tree;0.0;0.0;0.0;11.0
kangaroo;0.0;0.0;0.0;12.0
ketch;0.285714285714;0.3;0.292682926829;20.0
lamp;0.0;0.0;0.0;13.0
laptop;0.0;0.0;0.0;13.0
Leopards;0.630136986301;1.0;0.773109243697;46.0
llama;0.0;0.0;0.0;18.0
lobster;0.0;0.0;0.0;7.0
lotus;0.666666666667;0.166666666667;0.266666666667;12.0
mandolin;0.0;0.0;0.0;8.0
mayfly;1.0;0.142857142857;0.25;7.0
menorah;0.2;0.0555555555556;0.0869565217391;18.0
metronome;1.0;0.285714285714;0.444444444444;7.0
minaret;0.388888888889;0.466666666667;0.424242424242;15.0
Motorbikes;0.5;0.915584415584;0.646788990826;154.0
nautilus;1.0;0.142857142857;0.25;14.0
octopus;0.75;0.333333333333;0.461538461538;9.0
okapi;0.0;0.0;0.0;7.0
pagoda;0.333333333333;0.0714285714286;0.117647058824;14.0
panda;0.0;0.0;0.0;10.0
pigeon;0.0;0.0;0.0;7.0
pizza;0.0;0.0;0.0;12.0
platypus;0.0;0.0;0.0;6.0
pyramid;0.0;0.0;0.0;13.0
revolver;0.0;0.0;0.0;13.0
rhino;0.0;0.0;0.0;12.0
rooster;0.0;0.0;0.0;8.0
saxophone;0.0;0.0;0.0;11.0
schooner;0.333333333333;0.0833333333333;0.133333333333;12.0
scissors;0.0;0.0;0.0;7.0
scorpion;0.333333333333;0.136363636364;0.193548387097;22.0
sea_horse;0.0;0.0;0.0;12.0
snoopy;0.4;0.5;0.444444444444;4.0
soccer_ball;0.125;0.2;0.153846153846;5.0
stapler;0.0;0.0;0.0;14.0
starfish;0.0833333333333;0.0588235294118;0.0689655172414;17.0
stegosaurus;0.166666666667;0.125;0.142857142857;8.0
stop_sign;0.571428571429;0.266666666667;0.363636363636;15.0
strawberry;1.0;0.125;0.222222222222;8.0
sunflower;0.375;0.333333333333;0.352941176471;18.0
tick;0.166666666667;0.125;0.142857142857;8.0
trilobite;0.363636363636;0.6;0.452830188679;20.0
umbrella;0.142857142857;0.0625;0.0869565217391;16.0
watch;0.222222222222;0.25;0.235294117647;40.0
water_lilly;1.0;0.125;0.222222222222;8.0
wheelchair;0.0;0.0;0.0;12.0
wild_cat;0.0;0.0;0.0;7.0
windsor_chair;0.0;0.0;0.0;13.0
wrench;0.0;0.0;0.0;8.0
yin_yang;0.5;0.416666666667;0.454545454545;12.0
