2016-08-19 20:20:30,839 DEBUG: ### Main Programm for Classification MonoView
2016-08-19 20:20:30,840 DEBUG: ### Classification - Database:MultiOmicDataset Feature:RNASeq train_size:0.5, CrossValidation k-folds:5, cores:4
2016-08-19 20:20:30,840 DEBUG: Start:	 Read hdf5 Files
2016-08-19 20:20:32,791 DEBUG: Info:	 Shape of Feature:(347, 73599), Length of classLabels vector:(347,)
2016-08-19 20:20:32,791 DEBUG: Done:	 Read CSV Files
2016-08-19 20:20:32,791 DEBUG: Start:	 Determine Train/Test split
2016-08-19 20:20:32,882 DEBUG: Info:	 Shape X_train:(173, 73599), Length of y_train:173
2016-08-19 20:20:32,883 DEBUG: Info:	 Shape X_test:(174, 73599), Length of y_test:174
2016-08-19 20:20:32,883 DEBUG: Done:	 Determine Train/Test split
2016-08-19 20:20:32,883 DEBUG: Start:	 Classification
2016-08-19 20:20:50,330 DEBUG: Info:	 Time for Classification: 19.4069910049[s]
2016-08-19 20:20:50,330 DEBUG: Done:	 Classification
2016-08-19 20:20:50,330 DEBUG: Start:	 Exporting to CSV
2016-08-19 20:20:50,334 DEBUG: Done:	 Exporting to CSV
