;accordion;airplanes;anchor;ant;BACKGROUND_Google;barrel;bass;beaver;binocular;bonsai;brain;brontosaurus;buddha;butterfly;camera;cannon;car_side;ceiling_fan;cellphone;chair;chandelier;cougar_body;cougar_face;crab;crayfish;crocodile;crocodile_head;cup;dalmatian;dollar_bill;dolphin;dragonfly;electric_guitar;elephant;emu;euphonium;ewer;Faces;Faces_easy;ferry;flamingo;flamingo_head;garfield;gerenuk;gramophone;grand_piano;hawksbill;headphone;hedgehog;helicopter;ibis;inline_skate;joshua_tree;kangaroo;ketch;lamp;laptop;Leopards;llama;lobster;lotus;mandolin;mayfly;menorah;metronome;minaret;Motorbikes;nautilus;octopus;okapi;pagoda;panda;pigeon;pizza;platypus;pyramid;revolver;rhino;rooster;saxophone;schooner;scissors;scorpion;sea_horse;snoopy;soccer_ball;stapler;starfish;stegosaurus;stop_sign;strawberry;sunflower;tick;trilobite;umbrella;watch;water_lilly;wheelchair;wild_cat;windsor_chair;wrench;yin_yang;All
accordion;0.461538461538;0.0;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.00355385456534
airplanes;0.0;0.473333333333;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.111111111111;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0277777777778;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.00909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0410060142154
anchor;0.0;0.0;;;0.0164835164835;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0135135135135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0625;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0294117647059;0.0;0.0277777777778;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.00246036085293
ant;0.0;0.0;;;0.00549450549451;;0.0;0.0;0.0;0.0166666666667;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0384615384615;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00675675675676;0.015625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0416666666667;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0030303030303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0294117647059;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.00300710770913
BACKGROUND_Google;0.0;0.02;;;0.186813186813;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0277777777778;;0.0;0.0;0.0;0.0;0.0;0.0294117647059;0.0384615384615;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0555555555556;0.0;0.0;0.0;0.0608108108108;0.0364583333333;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0588235294118;0.0;0.0;0.0;0.0333333333333;;0.0;0.0;0.0217391304348;0.0;0.0;0.025;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0333333333333;0.0;0.0;0.0;0.111111111111;0.0454545454545;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0357142857143;0.0;0.03125;0.0384615384615;0.0384615384615;0.0;0.0882352941176;0.0;0.0;0.0;0.0172413793103;0.0;0.0;;0.0;0.0;0.0;0.0248769819574
barrel;0.0;0.0;;;0.010989010989;;0.0;0.0;0.0;0.0;0.0;0.0;0.0294117647059;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00675675675676;0.0104166666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0125;0.0384615384615;0.0;0.0;;0.0;0.0;0.0;0.0;0.00606060606061;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0357142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0172413793103;0.0;0.0;;0.0;0.0;0.0;0.00355385456534
bass;0.0;0.0;;;0.0;;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.0555555555556;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0555555555556;0.05;0.0;;0.0;0.0;0.0;0.0;0.0555555555556;0.0;0.0;0.0;0.00675675675676;0.00520833333333;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0294117647059;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0030303030303;0.0;0.0;0.0;0.0;0.0;0.0;0.0625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0263157894737;0.00862068965517;0.0;0.0;;0.0;0.0;0.0;0.00464734827775
beaver;0.0;0.0;;;0.0;;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.111111111111;0.0;0.125;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0833333333333;0.0;0.0;0.0;0.0;0.0416666666667;0.0;0.0;;0.0454545454545;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0030303030303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0416666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.00273373428103
binocular;0.0;0.0;;;0.010989010989;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00520833333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0258620689655;0.0;0.0;;0.0;0.0;0.0;0.00164024056862
bonsai;0.0;0.0;;;0.010989010989;;0.0588235294118;0.0;0.0;0.133333333333;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0384615384615;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0294117647059;0.0;0.0;0.0;0.0;;0.0454545454545;0.0;0.0;0.0;0.0;0.05;0.0384615384615;0.0;0.0;;0.0;0.0;0.0;0.0;0.0181818181818;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00862068965517;0.0;0.0;;0.0;0.0;0.0;0.00820120284308
