;Precision;Recall;F1;Support
accordion;0.875;0.777777777778;0.823529411765;9.0
airplanes;0.708695652174;0.942196531792;0.808933002481;173.0
anchor;0.0;0.0;0.0;10.0
ant;0.0;0.0;0.0;7.0
BACKGROUND_Google;0.248520710059;0.428571428571;0.314606741573;98.0
barrel;0.0;0.0;0.0;11.0
bass;0.0;0.0;0.0;15.0
beaver;0.25;0.0909090909091;0.133333333333;11.0
binocular;1.0;0.2;0.333333333333;5.0
bonsai;0.25;0.416666666667;0.3125;24.0
brain;0.135135135135;0.277777777778;0.181818181818;18.0
brontosaurus;0.0;0.0;0.0;11.0
buddha;0.0;0.0;0.0;21.0
butterfly;0.25;0.16;0.19512195122;25.0
camera;0.0;0.0;0.0;6.0
cannon;0.0;0.0;0.0;7.0
car_side;0.59375;0.730769230769;0.655172413793;26.0
ceiling_fan;0.0;0.0;0.0;10.0
cellphone;0.357142857143;0.384615384615;0.37037037037;13.0
chair;0.5;0.0666666666667;0.117647058824;15.0
chandelier;0.0;0.0;0.0;16.0
cougar_body;0.0;0.0;0.0;13.0
cougar_face;0.125;0.0769230769231;0.0952380952381;13.0
crab;0.0625;0.1;0.0769230769231;10.0
crayfish;0.0;0.0;0.0;17.0
crocodile;0.25;0.272727272727;0.260869565217;11.0
crocodile_head;0.2;0.125;0.153846153846;8.0
cup;0.0;0.0;0.0;15.0
dalmatian;0.0;0.0;0.0;13.0
dollar_bill;0.272727272727;0.3;0.285714285714;10.0
dolphin;0.6;0.214285714286;0.315789473684;14.0
dragonfly;0.363636363636;0.285714285714;0.32;14.0
electric_guitar;0.0;0.0;0.0;12.0
elephant;0.0;0.0;0.0;5.0
emu;0.25;0.142857142857;0.181818181818;14.0
euphonium;0.5;0.153846153846;0.235294117647;13.0
ewer;0.25;0.05;0.0833333333333;20.0
Faces;0.44966442953;0.705263157895;0.549180327869;95.0
Faces_easy;0.375661375661;0.855421686747;0.522058823529;83.0
ferry;0.25;0.272727272727;0.260869565217;11.0
flamingo;0.2;0.0833333333333;0.117647058824;12.0
flamingo_head;0.5;0.5;0.5;4.0
garfield;0.666666666667;0.285714285714;0.4;7.0
gerenuk;0.1;0.142857142857;0.117647058824;7.0
gramophone;0.0;0.0;0.0;11.0
grand_piano;0.230769230769;0.230769230769;0.230769230769;13.0
hawksbill;0.12962962963;0.388888888889;0.194444444444;18.0
headphone;0.0;0.0;0.0;6.0
hedgehog;0.0;0.0;0.0;11.0
helicopter;0.25;0.136363636364;0.176470588235;22.0
ibis;0.0;0.0;0.0;13.0
inline_skate;0.0;0.0;0.0;7.0
joshua_tree;0.363636363636;0.333333333333;0.347826086957;12.0
kangaroo;0.142857142857;0.115384615385;0.127659574468;26.0
ketch;0.375;0.25;0.3;24.0
lamp;0.0;0.0;0.0;11.0
laptop;0.666666666667;0.105263157895;0.181818181818;19.0
Leopards;0.402298850575;0.795454545455;0.534351145038;44.0
llama;0.0454545454545;0.0588235294118;0.0512820512821;17.0
lobster;0.0;0.0;0.0;11.0
lotus;0.142857142857;0.0714285714286;0.0952380952381;14.0
mandolin;0.0;0.0;0.0;8.0
mayfly;0.0;0.0;0.0;9.0
menorah;0.111111111111;0.0625;0.08;16.0
metronome;0.4;0.4;0.4;5.0
minaret;0.538461538462;1.0;0.7;7.0
Motorbikes;0.537190082645;0.935251798561;0.682414698163;139.0
nautilus;0.0;0.0;0.0;9.0
octopus;1.0;0.111111111111;0.2;9.0
okapi;0.0;0.0;0.0;7.0
pagoda;0.444444444444;0.8;0.571428571429;5.0
panda;0.0;0.0;0.0;3.0
pigeon;0.0;0.0;0.0;10.0
pizza;0.0;0.0;0.0;11.0
platypus;0.0;0.0;0.0;7.0
pyramid;0.0;0.0;0.0;11.0
revolver;0.5;0.0909090909091;0.153846153846;22.0
rhino;0.125;0.0769230769231;0.0952380952381;13.0
rooster;0.0;0.0;0.0;10.0
saxophone;0.0;0.0;0.0;7.0
schooner;0.0;0.0;0.0;9.0
scissors;0.4;0.2;0.266666666667;10.0
scorpion;0.2;0.047619047619;0.0769230769231;21.0
sea_horse;1.0;0.142857142857;0.25;14.0
snoopy;0.666666666667;0.285714285714;0.4;7.0
soccer_ball;0.25;0.272727272727;0.260869565217;11.0
stapler;0.333333333333;0.125;0.181818181818;8.0
starfish;0.142857142857;0.1875;0.162162162162;16.0
stegosaurus;0.0;0.0;0.0;14.0
stop_sign;0.6;0.214285714286;0.315789473684;14.0
strawberry;0.0;0.0;0.0;7.0
sunflower;0.133333333333;0.1;0.114285714286;20.0
tick;0.0;0.0;0.0;11.0
trilobite;0.535714285714;0.833333333333;0.652173913043;18.0
umbrella;0.142857142857;0.0769230769231;0.1;13.0
watch;0.246153846154;0.32;0.278260869565;50.0
water_lilly;0.0;0.0;0.0;6.0
wheelchair;0.0;0.0;0.0;11.0
wild_cat;0.0;0.0;0.0;3.0
windsor_chair;1.0;0.142857142857;0.25;7.0
wrench;0.8;0.8;0.8;5.0
yin_yang;0.666666666667;0.133333333333;0.222222222222;15.0
