;Precision;Recall;F1;Support
accordion;0.181818181818;0.266666666667;0.216216216216;15.0
airplanes;0.4625;0.925;0.616666666667;160.0
anchor;0.0;0.0;0.0;6.0
ant;0.0;0.0;0.0;9.0
BACKGROUND_Google;0.150753768844;0.294117647059;0.199335548173;102.0
barrel;0.0;0.0;0.0;9.0
bass;0.5;0.1;0.166666666667;10.0
beaver;0.0;0.0;0.0;9.0
binocular;0.0;0.0;0.0;9.0
bonsai;0.307692307692;0.2;0.242424242424;20.0
brain;0.47619047619;0.434782608696;0.454545454545;23.0
brontosaurus;0.0;0.0;0.0;8.0
buddha;0.6;0.1875;0.285714285714;16.0
butterfly;0.0;0.0;0.0;13.0
camera;0.0;0.0;0.0;7.0
cannon;0.0;0.0;0.0;8.0
car_side;0.36;0.692307692308;0.473684210526;26.0
ceiling_fan;0.5;0.125;0.2;8.0
cellphone;0.0;0.0;0.0;10.0
chair;0.5;0.166666666667;0.25;6.0
chandelier;0.0;0.0;0.0;19.0
cougar_body;0.0;0.0;0.0;11.0
cougar_face;0.0;0.0;0.0;16.0
crab;0.2;0.0666666666667;0.1;15.0
crayfish;0.333333333333;0.0625;0.105263157895;16.0
crocodile;0.0;0.0;0.0;11.0
crocodile_head;0.0;0.0;0.0;7.0
cup;0.0;0.0;0.0;11.0
dalmatian;0.5;0.0666666666667;0.117647058824;15.0
dollar_bill;0.285714285714;0.5;0.363636363636;4.0
dolphin;0.0;0.0;0.0;12.0
dragonfly;0.0;0.0;0.0;11.0
electric_guitar;0.0;0.0;0.0;20.0
elephant;0.0;0.0;0.0;11.0
emu;0.0;0.0;0.0;12.0
euphonium;0.666666666667;0.235294117647;0.347826086957;17.0
ewer;0.0;0.0;0.0;14.0
Faces;0.267281105991;0.610526315789;0.371794871795;95.0
Faces_easy;0.340909090909;0.740740740741;0.466926070039;81.0
ferry;1.0;0.0588235294118;0.111111111111;17.0
flamingo;0.25;0.0625;0.1;16.0
flamingo_head;0.0;0.0;0.0;7.0
garfield;0.6;0.375;0.461538461538;8.0
gerenuk;0.2;0.111111111111;0.142857142857;9.0
gramophone;1.0;0.0909090909091;0.166666666667;11.0
grand_piano;0.363636363636;0.380952380952;0.372093023256;21.0
hawksbill;0.3;0.260869565217;0.279069767442;23.0
headphone;0.0;0.0;0.0;14.0
hedgehog;0.0;0.0;0.0;8.0
helicopter;0.25;0.047619047619;0.08;21.0
ibis;0.125;0.0625;0.0833333333333;16.0
inline_skate;1.0;0.333333333333;0.5;9.0
joshua_tree;0.2;0.0909090909091;0.125;11.0
kangaroo;0.0588235294118;0.0769230769231;0.0666666666667;13.0
ketch;0.3125;0.208333333333;0.25;24.0
lamp;0.0;0.0;0.0;12.0
laptop;0.0;0.0;0.0;17.0
Leopards;0.690909090909;1.0;0.817204301075;38.0
llama;1.0;0.0714285714286;0.133333333333;14.0
lobster;0.0;0.0;0.0;9.0
lotus;0.4;0.181818181818;0.25;11.0
mandolin;0.0;0.0;0.0;10.0
mayfly;0.25;0.2;0.222222222222;5.0
menorah;0.125;0.0833333333333;0.1;12.0
metronome;0.5;0.166666666667;0.25;6.0
minaret;0.411764705882;0.583333333333;0.48275862069;12.0
Motorbikes;0.49504950495;0.920245398773;0.643776824034;163.0
nautilus;0.0;0.0;0.0;11.0
octopus;1.0;0.25;0.4;12.0
okapi;0.0;0.0;0.0;4.0
pagoda;0.5;0.2;0.285714285714;15.0
panda;0.0;0.0;0.0;5.0
pigeon;0.0;0.0;0.0;11.0
pizza;0.166666666667;0.111111111111;0.133333333333;9.0
platypus;1.0;0.333333333333;0.5;3.0
pyramid;0.333333333333;0.0625;0.105263157895;16.0
revolver;0.0;0.0;0.0;12.0
rhino;0.333333333333;0.0666666666667;0.111111111111;15.0
rooster;0.0;0.0;0.0;9.0
saxophone;0.2;0.142857142857;0.166666666667;7.0
schooner;0.0;0.0;0.0;12.0
scissors;0.0;0.0;0.0;7.0
scorpion;0.285714285714;0.1;0.148148148148;20.0
sea_horse;0.0;0.0;0.0;12.0
snoopy;0.5;0.2;0.285714285714;5.0
soccer_ball;0.666666666667;0.133333333333;0.222222222222;15.0
stapler;0.0;0.0;0.0;4.0
starfish;0.266666666667;0.25;0.258064516129;16.0
stegosaurus;0.75;0.176470588235;0.285714285714;17.0
stop_sign;0.857142857143;0.461538461538;0.6;13.0
strawberry;1.0;0.222222222222;0.363636363636;9.0
sunflower;0.52380952381;0.458333333333;0.488888888889;24.0
tick;0.5;0.1;0.166666666667;10.0
trilobite;0.454545454545;0.526315789474;0.487804878049;19.0
umbrella;0.0;0.0;0.0;7.0
watch;0.216216216216;0.177777777778;0.19512195122;45.0
water_lilly;0.0;0.0;0.0;7.0
wheelchair;0.0;0.0;0.0;13.0
wild_cat;0.0;0.0;0.0;7.0
windsor_chair;0.5;0.166666666667;0.25;12.0
wrench;0.75;0.3;0.428571428571;10.0
yin_yang;0.125;0.142857142857;0.133333333333;7.0
