;accordion;airplanes;anchor;ant;BACKGROUND_Google;barrel;bass;beaver;binocular;bonsai;brain;brontosaurus;buddha;butterfly;camera;cannon;car_side;ceiling_fan;cellphone;chair;chandelier;cougar_body;cougar_face;crab;crayfish;crocodile;crocodile_head;cup;dalmatian;dollar_bill;dolphin;dragonfly;electric_guitar;elephant;emu;euphonium;ewer;Faces;Faces_easy;ferry;flamingo;flamingo_head;garfield;gerenuk;gramophone;grand_piano;hawksbill;headphone;hedgehog;helicopter;ibis;inline_skate;joshua_tree;kangaroo;ketch;lamp;laptop;Leopards;llama;lobster;lotus;mandolin;mayfly;menorah;metronome;minaret;Motorbikes;nautilus;octopus;okapi;pagoda;panda;pigeon;pizza;platypus;pyramid;revolver;rhino;rooster;saxophone;schooner;scissors;scorpion;sea_horse;snoopy;soccer_ball;stapler;starfish;stegosaurus;stop_sign;strawberry;sunflower;tick;trilobite;umbrella;watch;water_lilly;wheelchair;wild_cat;windsor_chair;wrench;yin_yang;All
accordion;0.3;0.0;;0.0;0.00588235294118;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0294117647059;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.00314465408805;;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.00273373428103
airplanes;0.0;0.447058823529;;0.0;0.0117647058824;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0238095238095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0121951219512;0.00480769230769;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0454545454545;0.0;0.0;0.0294117647059;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0283018867925;;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0263157894737;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0464734827775
anchor;0.0;0.0117647058824;;0.0;0.0235294117647;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0121951219512;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.00314465408805;;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.00300710770913
ant;0.0;0.00294117647059;;0.0;0.0176470588235;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0238095238095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0454545454545;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0131578947368;0.0;0.0;;;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.125;0.0;;0.0;0.0;0.0;0.0;0.025;0.0;0.0263157894737;0.0;0.0;0.0;;;0.0;0.0;0.0;0.00273373428103
BACKGROUND_Google;0.05;0.0235294117647;;0.0;0.158823529412;0.05;0.0;;;0.06;0.0;0.0;0.0;0.0263157894737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0625;0.0;0.0;0.0;0.0384615384615;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0426829268293;0.0336538461538;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0588235294118;0.0;0.0;0.0;0.0185185185185;;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0503144654088;;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.05;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0277777777778;0.0434782608696;0.0;;;0.0;0.0;0.0833333333333;0.0232367413887
barrel;0.0;0.00588235294118;;0.0;0.0117647058824;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00609756097561;0.00480769230769;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0062893081761;;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.05;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0108695652174;0.0;;;0.0;0.0;0.0;0.00273373428103
bass;0.0;0.00294117647059;;0.0;0.0117647058824;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0238095238095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0243902439024;0.00480769230769;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.00943396226415;;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.00328048113723
beaver;0.05;0.0;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0182926829268;0.00961538461538;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;;0.0;0.0131578947368;0.0;0.0;;;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.00218698742482
binocular;0.0;0.00294117647059;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00609756097561;0.00480769230769;0.0;0.0;;0.0;0.0;0.0;0.0227272727273;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0188679245283;;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0263157894737;0.0;0.0;0.0;;;0.0;0.0;0.0;0.00328048113723
bonsai;0.0;0.00294117647059;;0.0;0.0235294117647;0.0;0.0;;;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0182926829268;0.00961538461538;0.0;0.0;;0.0;0.0;0.0;0.0227272727273;0.0;0.0;0.0;0.0277777777778;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;;;0.0263157894737;0.0;0.0416666666667;0.0188679245283;;0.0;0.0;0.0;;;0.0;0.0;0.0555555555556;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.00683433570257
