;Precision;Recall;F1;Support
accordion;0.333333333333;0.6;0.428571428571;10.0
airplanes;0.448377581121;0.894117647059;0.597249508841;170.0
anchor;0.0;0.0;0.0;11.0
ant;0.0;0.0;0.0;10.0
BACKGROUND_Google;0.136363636364;0.317647058824;0.190812720848;85.0
barrel;0.0;0.0;0.0;10.0
bass;0.0;0.0;0.0;12.0
beaver;0.0;0.0;0.0;8.0
binocular;0.0;0.0;0.0;12.0
bonsai;0.25;0.12;0.162162162162;25.0
brain;0.368421052632;0.368421052632;0.368421052632;19.0
brontosaurus;0.0;0.0;0.0;10.0
buddha;0.25;0.0769230769231;0.117647058824;13.0
butterfly;0.5;0.0526315789474;0.0952380952381;19.0
camera;0.2;0.111111111111;0.142857142857;9.0
cannon;0.0;0.0;0.0;4.0
car_side;0.4;0.47619047619;0.434782608696;21.0
ceiling_fan;0.5;0.125;0.2;8.0
cellphone;0.0;0.0;0.0;16.0
chair;0.0;0.0;0.0;12.0
chandelier;0.1;0.047619047619;0.0645161290323;21.0
cougar_body;0.666666666667;0.25;0.363636363636;8.0
cougar_face;0.142857142857;0.0833333333333;0.105263157895;12.0
crab;0.0;0.0;0.0;9.0
crayfish;0.0;0.0;0.0;8.0
crocodile;0.0;0.0;0.0;8.0
crocodile_head;0.0;0.0;0.0;8.0
cup;0.0;0.0;0.0;11.0
dalmatian;0.25;0.0769230769231;0.117647058824;13.0
dollar_bill;0.571428571429;0.307692307692;0.4;13.0
dolphin;0.444444444444;0.266666666667;0.333333333333;15.0
dragonfly;0.0;0.0;0.0;9.0
electric_guitar;0.0;0.0;0.0;11.0
elephant;0.0;0.0;0.0;11.0
emu;0.0;0.0;0.0;11.0
euphonium;0.6;0.375;0.461538461538;8.0
ewer;0.142857142857;0.0625;0.0869565217391;16.0
Faces;0.251063829787;0.719512195122;0.372239747634;82.0
Faces_easy;0.422619047619;0.682692307692;0.522058823529;104.0
ferry;0.5;0.0769230769231;0.133333333333;13.0
flamingo;0.5;0.125;0.2;16.0
flamingo_head;0.0;0.0;0.0;11.0
garfield;0.5;0.5;0.5;2.0
gerenuk;0.142857142857;0.166666666667;0.153846153846;6.0
gramophone;0.0;0.0;0.0;13.0
grand_piano;0.357142857143;0.227272727273;0.277777777778;22.0
hawksbill;0.5;0.222222222222;0.307692307692;27.0
headphone;0.166666666667;0.0909090909091;0.117647058824;11.0
hedgehog;0.25;0.125;0.166666666667;8.0
helicopter;0.0;0.0;0.0;18.0
ibis;0.125;0.117647058824;0.121212121212;17.0
inline_skate;1.0;0.285714285714;0.444444444444;7.0
joshua_tree;1.0;0.125;0.222222222222;16.0
kangaroo;0.272727272727;0.15;0.193548387097;20.0
ketch;0.333333333333;0.296296296296;0.313725490196;27.0
lamp;0.0;0.0;0.0;13.0
laptop;0.0;0.0;0.0;19.0
Leopards;0.64406779661;1.0;0.783505154639;38.0
llama;0.0;0.0;0.0;13.0
lobster;0.0;0.0;0.0;12.0
lotus;0.0;0.0;0.0;14.0
mandolin;0.0;0.0;0.0;11.0
mayfly;0.0;0.0;0.0;8.0
menorah;0.285714285714;0.105263157895;0.153846153846;19.0
metronome;1.0;0.2;0.333333333333;5.0
minaret;0.407407407407;0.916666666667;0.564102564103;12.0
Motorbikes;0.483443708609;0.918238993711;0.633405639913;159.0
nautilus;0.0;0.0;0.0;13.0
octopus;0.5;0.25;0.333333333333;8.0
okapi;1.0;0.125;0.222222222222;8.0
pagoda;0.75;0.230769230769;0.352941176471;13.0
panda;0.0;0.0;0.0;8.0
pigeon;0.0;0.0;0.0;11.0
pizza;0.0;0.0;0.0;11.0
platypus;0.5;0.166666666667;0.25;6.0
pyramid;0.0;0.0;0.0;9.0
revolver;0.4;0.0909090909091;0.148148148148;22.0
rhino;0.0;0.0;0.0;10.0
rooster;0.0;0.0;0.0;7.0
saxophone;0.333333333333;0.1;0.153846153846;10.0
schooner;0.25;0.125;0.166666666667;8.0
scissors;0.0;0.0;0.0;6.0
scorpion;0.0;0.0;0.0;13.0
sea_horse;0.0;0.0;0.0;9.0
snoopy;0.5;0.25;0.333333333333;4.0
soccer_ball;0.833333333333;0.3125;0.454545454545;16.0
stapler;0.0;0.0;0.0;7.0
starfish;0.0;0.0;0.0;13.0
stegosaurus;0.333333333333;0.0714285714286;0.117647058824;14.0
stop_sign;0.5;0.375;0.428571428571;8.0
strawberry;0.0;0.0;0.0;7.0
sunflower;0.444444444444;0.4;0.421052631579;20.0
tick;0.5;0.181818181818;0.266666666667;11.0
trilobite;0.352941176471;0.631578947368;0.452830188679;19.0
umbrella;0.166666666667;0.0555555555556;0.0833333333333;18.0
watch;0.25641025641;0.217391304348;0.235294117647;46.0
water_lilly;1.0;0.166666666667;0.285714285714;6.0
wheelchair;0.0;0.0;0.0;10.0
wild_cat;0.0;0.0;0.0;6.0
windsor_chair;0.666666666667;0.2;0.307692307692;10.0
wrench;0.5;0.181818181818;0.266666666667;11.0
yin_yang;0.4;0.333333333333;0.363636363636;12.0
