;accordion;airplanes;anchor;ant;BACKGROUND_Google;barrel;bass;beaver;binocular;bonsai;brain;brontosaurus;buddha;butterfly;camera;cannon;car_side;ceiling_fan;cellphone;chair;chandelier;cougar_body;cougar_face;crab;crayfish;crocodile;crocodile_head;cup;dalmatian;dollar_bill;dolphin;dragonfly;electric_guitar;elephant;emu;euphonium;ewer;Faces;Faces_easy;ferry;flamingo;flamingo_head;garfield;gerenuk;gramophone;grand_piano;hawksbill;headphone;hedgehog;helicopter;ibis;inline_skate;joshua_tree;kangaroo;ketch;lamp;laptop;Leopards;llama;lobster;lotus;mandolin;mayfly;menorah;metronome;minaret;Motorbikes;nautilus;octopus;okapi;pagoda;panda;pigeon;pizza;platypus;pyramid;revolver;rhino;rooster;saxophone;schooner;scissors;scorpion;sea_horse;snoopy;soccer_ball;stapler;starfish;stegosaurus;stop_sign;strawberry;sunflower;tick;trilobite;umbrella;watch;water_lilly;wheelchair;wild_cat;windsor_chair;wrench;yin_yang;All
accordion;0.1;0.0030303030303;;0.0;0.0168539325843;;0.0;0.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;0.00684931506849;0.00588235294118;;;;0.0;0.0;;0.0;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0555555555556;0.0;0.0;;0.0;;;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0384615384615;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.00273373428103
airplanes;0.0;0.412121212121;;0.0;0.0112359550562;;0.0;0.0;;0.0;0.0227272727273;;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;0.027397260274;0.0470588235294;;;;0.0;0.0;;0.0;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;;0.0;;0.0;0.0355191256831;0.0;0.0;0.0;;0.0;;0.0;;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0113636363636;0.0;0.0;0.0;0.0;;0.0;0.045106615637
anchor;0.0;0.00606060606061;;0.0;0.00561797752809;;0.0;0.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.0;;;;0.0;0.0;;0.0;0.0185185185185;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;;0.0;;0.0;0.00546448087432;0.0;0.0;0.0;;0.0;;0.0;;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.00164024056862
ant;0.0;0.0;;0.0;0.00561797752809;;0.0;0.0;;0.0;0.0;;0.0;0.0357142857143;;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.00588235294118;;;;0.0;0.0;;0.0;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;;0.0;;0.0;0.00273224043716;0.0;0.0;0.0;;0.0;;0.0;;0.0;;0.0;;;0.0714285714286;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.00164024056862
BACKGROUND_Google;0.0;0.030303030303;;0.0;0.185393258427;;0.0;0.0;;0.0;0.0454545454545;;0.0;0.0;;;0.0833333333333;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0454545454545;0.0;;;0.0;0.0;0.0;;0.0342465753425;0.00588235294118;;;;0.0;0.0;;0.0;0.0185185185185;;0.0416666666667;;0.03125;;0.0;0.0;0.0;0.0;0.0;0.0113636363636;0.0;;0.03125;;;0.0;;0.0;0.0628415300546;0.0;0.0;0.0;;0.0;;0.0;;0.0;;0.0;;;0.0;0.0833333333333;0.0;0.0;0.1;0.0;;0.0;0.0;0.0;0.166666666667;0.0;0.0;0.0384615384615;0.0;0.0;0.0;0.0357142857143;0.0;0.0;;0.0;0.0243302351011
barrel;0.0;0.0151515151515;;0.0;0.00561797752809;;0.0;0.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;0.00684931506849;0.0117647058824;;;;0.0;0.0;;0.0;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0357142857143;;0.0;;;0.0;;0.0;0.00273224043716;0.0;0.0;0.0;;0.0;;0.0;;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.00300710770913
bass;0.0;0.0030303030303;;0.0;0.00561797752809;;0.0;0.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;0.013698630137;0.00588235294118;;;;0.0;0.0;;0.0;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;;0.0;;0.0;0.00819672131148;0.0;0.0;0.0;;0.0;;0.0;;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.00218698742482
beaver;0.0;0.00606060606061;;0.0;0.0112359550562;;0.0;0.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.1;0.0;;0.0;0.00588235294118;;;;0.0;0.0;;0.0;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;;0.0;;0.0;0.00273224043716;0.0;0.0;0.0;;0.0;;0.0;;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.00191361399672
binocular;0.0;0.0121212121212;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;0.00684931506849;0.0;;;;0.0;0.0;;0.0;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;;0.0;;0.0;0.00273224043716;0.0;0.0;0.0;;0.0714285714286;;0.0;;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.00191361399672
bonsai;0.0;0.0;;0.0;0.0112359550562;;0.0;0.0;;0.193548387097;0.0;;0.0;0.0;;;0.0;0.0;0.0;;0.0217391304348;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;0.00684931506849;0.0;;;;0.0;0.0;;0.0;0.0185185185185;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;;0.0;;0.0;0.0300546448087;0.0;0.0;0.0;;0.0;;0.0;;0.0625;;0.0;;;0.0;0.0;0.0;0.0238095238095;0.0;0.0;;0.0;0.0;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.00847457627119
