;Precision;Recall;F1;Support
accordion;0.0;0.0;0.0;7.0
airplanes;0.318181818182;0.813953488372;0.457516339869;172.0
anchor;0.0;0.0;0.0;8.0
ant;0.0;0.0;0.0;10.0
BACKGROUND_Google;0.288461538462;0.398230088496;0.334572490706;113.0
barrel;0.0;0.0;0.0;4.0
bass;0.0;0.0;0.0;14.0
beaver;0.0;0.0;0.0;12.0
binocular;0.0;0.0;0.0;8.0
bonsai;0.137254901961;0.333333333333;0.194444444444;21.0
brain;0.538461538462;0.538461538462;0.538461538462;26.0
brontosaurus;0.0;0.0;0.0;9.0
buddha;0.0;0.0;0.0;16.0
butterfly;0.0;0.0;0.0;24.0
camera;0.0;0.0;0.0;12.0
cannon;0.0;0.0;0.0;8.0
car_side;0.260869565217;0.24;0.25;25.0
ceiling_fan;0.0;0.0;0.0;10.0
cellphone;0.0;0.0;0.0;8.0
chair;0.0;0.0;0.0;13.0
chandelier;0.0;0.0;0.0;16.0
cougar_body;0.0;0.0;0.0;6.0
cougar_face;0.0;0.0;0.0;13.0
crab;0.0;0.0;0.0;16.0
crayfish;0.0;0.0;0.0;14.0
crocodile;0.333333333333;0.222222222222;0.266666666667;9.0
crocodile_head;0.25;0.142857142857;0.181818181818;7.0
cup;0.0;0.0;0.0;16.0
dalmatian;0.5;0.2;0.285714285714;10.0
dollar_bill;1.0;0.333333333333;0.5;9.0
dolphin;0.0;0.0;0.0;12.0
dragonfly;0.0;0.0;0.0;16.0
electric_guitar;0.0;0.0;0.0;19.0
elephant;0.0;0.0;0.0;10.0
emu;0.0;0.0;0.0;11.0
euphonium;0.375;0.214285714286;0.272727272727;14.0
ewer;0.0;0.0;0.0;14.0
Faces;0.254098360656;0.3875;0.306930693069;80.0
Faces_easy;0.255319148936;0.551724137931;0.349090909091;87.0
ferry;0.0;0.0;0.0;8.0
flamingo;0.0;0.0;0.0;18.0
flamingo_head;0.0;0.0;0.0;7.0
garfield;0.666666666667;0.285714285714;0.4;7.0
gerenuk;0.25;1.0;0.4;2.0
gramophone;0.0;0.0;0.0;9.0
grand_piano;0.75;0.214285714286;0.333333333333;14.0
hawksbill;0.225;0.375;0.28125;24.0
headphone;0.0;0.0;0.0;6.0
hedgehog;0.153846153846;0.111111111111;0.129032258065;18.0
helicopter;0.0;0.0;0.0;11.0
ibis;0.0;0.0;0.0;12.0
inline_skate;0.0;0.0;0.0;9.0
joshua_tree;0.333333333333;0.230769230769;0.272727272727;13.0
kangaroo;0.133333333333;0.181818181818;0.153846153846;11.0
ketch;0.0;0.0;0.0;25.0
lamp;0.0;0.0;0.0;16.0
laptop;0.0;0.0;0.0;18.0
Leopards;0.564516129032;0.945945945946;0.707070707071;37.0
llama;0.5;0.0454545454545;0.0833333333333;22.0
lobster;0.0;0.0;0.0;6.0
lotus;0.0;0.0;0.0;15.0
mandolin;0.0;0.0;0.0;10.0
mayfly;0.0;0.0;0.0;7.0
menorah;0.0;0.0;0.0;20.0
metronome;1.0;0.2;0.333333333333;5.0
minaret;0.0;0.0;0.0;16.0
Motorbikes;0.372596153846;0.901162790698;0.527210884354;172.0
nautilus;0.0;0.0;0.0;9.0
octopus;1.0;0.4;0.571428571429;5.0
okapi;0.0;0.0;0.0;6.0
pagoda;0.0;0.0;0.0;4.0
panda;0.0;0.0;0.0;5.0
pigeon;0.0;0.0;0.0;14.0
pizza;0.0;0.0;0.0;13.0
platypus;0.0;0.0;0.0;9.0
pyramid;0.5;0.142857142857;0.222222222222;7.0
revolver;0.0;0.0;0.0;11.0
rhino;0.0;0.0;0.0;11.0
rooster;0.0;0.0;0.0;9.0
saxophone;0.0;0.0;0.0;8.0
schooner;0.0;0.0;0.0;14.0
scissors;0.2;0.2;0.2;5.0
scorpion;0.5;0.2;0.285714285714;15.0
sea_horse;0.333333333333;0.0625;0.105263157895;16.0
snoopy;0.666666666667;0.571428571429;0.615384615385;7.0
soccer_ball;0.714285714286;0.3125;0.434782608696;16.0
stapler;0.0;0.0;0.0;8.0
starfish;0.176470588235;0.166666666667;0.171428571429;18.0
stegosaurus;0.0;0.0;0.0;8.0
stop_sign;0.6;0.230769230769;0.333333333333;13.0
strawberry;0.666666666667;0.181818181818;0.285714285714;11.0
sunflower;0.142857142857;0.0714285714286;0.0952380952381;14.0
tick;0.0;0.0;0.0;9.0
trilobite;0.37037037037;0.666666666667;0.47619047619;15.0
umbrella;0.1;0.0833333333333;0.0909090909091;12.0
watch;0.21875;0.166666666667;0.189189189189;42.0
water_lilly;0.0;0.0;0.0;7.0
wheelchair;0.0;0.0;0.0;16.0
wild_cat;0.0;0.0;0.0;8.0
windsor_chair;0.545454545455;0.75;0.631578947368;8.0
wrench;0.0;0.0;0.0;8.0
yin_yang;0.285714285714;0.363636363636;0.32;11.0
