;accordion;airplanes;anchor;ant;BACKGROUND_Google;barrel;bass;beaver;binocular;bonsai;brain;brontosaurus;buddha;butterfly;camera;cannon;car_side;ceiling_fan;cellphone;chair;chandelier;cougar_body;cougar_face;crab;crayfish;crocodile;crocodile_head;cup;dalmatian;dollar_bill;dolphin;dragonfly;electric_guitar;elephant;emu;euphonium;ewer;Faces;Faces_easy;ferry;flamingo;flamingo_head;garfield;gerenuk;gramophone;grand_piano;hawksbill;headphone;hedgehog;helicopter;ibis;inline_skate;joshua_tree;kangaroo;ketch;lamp;laptop;Leopards;llama;lobster;lotus;mandolin;mayfly;menorah;metronome;minaret;Motorbikes;nautilus;octopus;okapi;pagoda;panda;pigeon;pizza;platypus;pyramid;revolver;rhino;rooster;saxophone;schooner;scissors;scorpion;sea_horse;snoopy;soccer_ball;stapler;starfish;stegosaurus;stop_sign;strawberry;sunflower;tick;trilobite;umbrella;watch;water_lilly;wheelchair;wild_cat;windsor_chair;wrench;yin_yang;All
accordion;0.166666666667;0.0;;;0.0263157894737;;;0.0;0.0;0.0;0.0;;0.0;0.0;;;0.0;;0.0;0.0;0.0;0.0;0.0263157894737;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016393442623;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.00613496932515;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.00410060142154
airplanes;0.0;0.444444444444;;;0.00526315789474;;;0.0;0.0;0.0;0.0;;0.0;0.0277777777778;;;0.0263157894737;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0655737704918;0.00480769230769;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0184049079755;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0442864953527
anchor;0.0;0.00617283950617;;;0.0;;;0.0;0.0;0.0;0.0;;0.0;0.0;;;0.0263157894737;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00480769230769;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0122699386503;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0357142857143;0.0;0.0;0.0;;0.0;;0.0;0.00246036085293
ant;0.0;0.0;;;0.00526315789474;;;0.0;0.0;0.0;0.0;;0.0;0.0;;;0.0;;0.0;0.0416666666667;0.0263157894737;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00480769230769;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.03125;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0555555555556;;0.0;0.0;0.0;0.0;0.0122699386503;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0104166666667;0.0;0.0;;0.0;;0.0;0.00328048113723
BACKGROUND_Google;0.0;0.0123456790123;;;0.2;;;0.0;0.0;0.0892857142857;0.0;;0.0;0.0;;;0.0263157894737;;0.0;0.0;0.0;0.0;0.0263157894737;0.0;;0.0;0.0;;0.0;0.0384615384615;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0737704918033;0.00961538461538;;0.0;0.0;0.0;0.0;;0.0333333333333;0.025;0.0;0.0;0.0294117647059;0.0;;0.0;0.0454545454545;0.0;0.0;0.0;0.0227272727273;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0490797546012;0.0;0.0;0.0;0.0555555555556;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0294117647059;0.0;0.05;0.0;0.0520833333333;0.0;0.0714285714286;;0.0;;0.0;0.0259704756698
barrel;0.0;0.0;;;0.00526315789474;;;0.0;0.0;0.0;0.0;;0.03125;0.0;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00819672131148;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0208333333333;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.00306748466258;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0294117647059;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.00164024056862
bass;0.0;0.00308641975309;;;0.0105263157895;;;0.0;0.0;0.0;0.0;;0.0;0.0;;;0.0;;0.0;0.0;0.0;0.0;0.0526315789474;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0245901639344;0.00480769230769;;0.0;0.0;0.0;0.0;;0.0;0.025;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.00300710770913
beaver;0.0;0.0;;;0.0;;;0.0;0.0;0.0178571428571;0.0;;0.0;0.0;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0294117647059;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0227272727273;0.0;;0.0;;0.0;0.0;0.0;0.0;0.00920245398773;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.00191361399672
binocular;0.0;0.00308641975309;;;0.0;;;0.0;0.0;0.0;0.0;;0.0;0.0;;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00480769230769;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.000546746856206
bonsai;0.0;0.0;;;0.0368421052632;;;0.0;0.0;0.142857142857;0.0;;0.0;0.0;;;0.0263157894737;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.03125;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0416666666667;0.0;0.0;0.0;0.0;0.0;0.0454545454545;;0.0;;0.0;0.0;0.0;0.0;0.0245398773006;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0294117647059;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.00765445598688
