;a_feat_desc;b_feat_extr_time;c_cl_desc;d_cl_res;e_cl_time;f_cl_score
0;CTMini-RGB-Bins_2-MaxCI_256-Norm_Distr;0.168999910355;Classif_RF-CV_8-Trees_100;"GridSearchCV(cv=8, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";2.65900015831;0.805194805195
1;CTMini-RGB-Bins_5-MaxCI_256-Norm_Distr;0.171999931335;Classif_RF-CV_8-Trees_50;"GridSearchCV(cv=8, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";2.62199997902;0.883116883117
2;CTMini-RGB-Bins_8-MaxCI_256-Norm_Distr;0.167999982834;Classif_RF-CV_8-Trees_100;"GridSearchCV(cv=8, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";2.68400001526;0.922077922078
3;CTMini-RGB-Bins_11-MaxCI_256-Norm_Distr;0.171999931335;Classif_RF-CV_8-Trees_50;"GridSearchCV(cv=8, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";2.74300003052;0.948051948052
4;CTMini-RGB-Bins_14-MaxCI_256-Norm_Distr;0.177000045776;Classif_RF-CV_8-Trees_50;"GridSearchCV(cv=8, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";2.7380001545;0.961038961039
5;CTMini-RGB-Bins_18-MaxCI_256-Norm_Distr;0.180999994278;Classif_RF-CV_8-Trees_100;"GridSearchCV(cv=8, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";2.86800003052;0.948051948052
6;CTMini-RGB-Bins_21-MaxCI_256-Norm_Distr;0.22000002861;Classif_RF-CV_8-Trees_100;"GridSearchCV(cv=8, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";3.40899991989;0.935064935065
7;CTMini-RGB-Bins_24-MaxCI_256-Norm_Distr;0.21799993515;Classif_RF-CV_8-Trees_50;"GridSearchCV(cv=8, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";2.98099994659;0.935064935065
8;CTMini-RGB-Bins_27-MaxCI_256-Norm_Distr;0.196999788284;Classif_RF-CV_8-Trees_200;"GridSearchCV(cv=8, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";3.0529999733;0.974025974026
9;CTMini-RGB-Bins_30-MaxCI_256-Norm_Distr;0.214999914169;Classif_RF-CV_8-Trees_100;"GridSearchCV(cv=8, error_score='raise',
       estimator=Pipeline(steps=[('classifier', RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))]),
       fit_params={}, iid=True, loss_func=None, n_jobs=1,
       param_grid={'classifier__n_estimators': [50, 100, 150, 200]},
       pre_dispatch='2*n_jobs', refit=True, score_func=None,
       scoring='accuracy', verbose=0)";3.02300000191;0.961038961039
